Substrate,Order,Taxa,Date,Survey,Site,Replica,N,Nkg
ASU,Cumacea,Cumella gomoiui,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cumella clavicauda,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cumella ruetzleri,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Carpias triton,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cumella vicina,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Calcinus tibicen,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Calyptolana hancocki,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Campylaspis heardi,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Carpias algicola,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Ceradocus sheardi ,06/05/2013,A,Bonanza,a,3,1
ASU,Amphipoda,Melita sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Chevalia aviculae,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Cirolana parva ,06/05/2013,A,Bonanza,a,4,1.3
ASU,Decapoda,Clibabarius tricolor,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Colomastix janiceae,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cubanocuma gutzi,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cumella garrityi,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Cumella sp G,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Cymodoce ruetzleri,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Cymodoce sp,06/05/2013,A,Bonanza,a,2,0.7
ASU,Decapoda,Diogenidae,06/05/2013,A,Bonanza,a,1,0.3
ASU,Amphipoda,Dumosus sp,06/05/2013,A,Bonanza,a,5,1.7
ASU,Tanaidacea,Dyscapseudes sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Elasmopus levis,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Elasmopus rapax ,06/05/2013,A,Bonanza,a,9,3
ASU,Amphipoda,Eobrolgus sp,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Excorallana antillensis,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Gnathia beethoveni,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Gnathia magdalensis,06/05/2013,A,Bonanza,a,9,3
ASU,Isopoda,Gnathia puertoricensis,06/05/2013,A,Bonanza,a,2,0.7
ASU,Isopoda,Gnathia vellosa,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Gnathia virginalis,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Gammaropsis atlantica,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Geocerceis barbarae,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Gibberosus myersi,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Globosolembos smithi ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Gnathia sp,06/05/2013,A,Bonanza,a,17,5.7
ASU,Isopoda,Gnathostenetroides pugio,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Hippolyte curacaoensis,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Hansenium stebbingi,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Stenetrium bowmani,06/05/2013,A,Bonanza,a,0,0
ASU,Tanaidacea,Hargeria rapax,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Hemiproto wigleyi,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Hemus cristulipes,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Hemus sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Hourstonius tortugae,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Joeropsis  bifasciatum,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Joeropsis personatus,06/05/2013,A,Bonanza,a,0,0
ASU,Tanaidacea,Alloleptochelia longimana,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Leucothoe spinicarpa,06/05/2013,A,Bonanza,a,1,0.3
ASU,Amphipoda,Lembos unifasciatus,06/05/2013,A,Bonanza,a,1,0.3
ASU,Tanaidacea,Chondrochelia dubia ,06/05/2013,A,Bonanza,a,21,7
ASU,Cumacea,Leucon sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Leucothoe laurensi,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Liljeborgia sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Lysianopsis alba,06/05/2013,A,Bonanza,a,4,1.3
ASU,Decapoda,Lysmata intermedia,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Lysmata sp,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Mesanthura bivittata,06/05/2013,A,Bonanza,a,1,0.3
ASU,Isopoda,Mesanthura fasciata,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Mithraculus forceps,06/05/2013,A,Bonanza,a,7,2.3
ASU,Isopoda,Mesanthura paucidens,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Mesanthura pulchra,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Quadrimaera quadrimana,06/05/2013,A,Bonanza,a,1,0.3
ASU,Cumacea,Mancomunatinae ,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Metacirolana halia,06/05/2013,A,Bonanza,a,2,0.7
ASU,Decapoda,Metalpheus rostratipes,06/05/2013,A,Bonanza,a,1,0.3
ASU,Amphipoda,Metarphinia floridana,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Omalacantha antillensis,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Microprosthema  semilaeve,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Mithraculus coryphe,06/05/2013,A,Bonanza,a,6,2
ASU,Decapoda,Mithraculus sculptus,06/05/2013,A,Bonanza,a,17,5.7
ASU,Decapoda,Mithrax sp,06/05/2013,A,Bonanza,a,9,3
ASU,Amphipoda,Netamelita barnardi  ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Tanaidacea,Nototanais sp,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Pitho aculeatha ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Cuapetes americanus,06/05/2013,A,Bonanza,a,2,0.7
ASU,Decapoda,Periclimenaeus ascidarum,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Paguristes hernancortezi,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Pitho lherminieri,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Pitho mirabilis,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Processa riveroi,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Paguridae A ,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Paguristes sp,06/05/2013,A,Bonanza,a,2,0.7
ASU,Tanaidacea,Pagurotanais bouryi,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Pagurus annulipes,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Palaemonidae,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Paracerceis caudata,06/05/2013,A,Bonanza,a,2,0.7
ASU,Isopoda,Paranthura floridensis,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Pariphinotus seclusus ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Tanaidacea,Parapseudes sp A ,06/05/2013,A,Bonanza,a,2,0.7
ASU,Tanaidacea,Paratanais sp A,06/05/2013,A,Bonanza,a,4,1.3
ASU,Isopoda,Pendanthura hendleri,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Periclimenes sp,06/05/2013,A,Bonanza,a,1,0.7
ASU,Amphipoda,Perioculodes cerasinus,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Petrochirus diogenes,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Petrolisthes galathinus,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Pilumnus longleyi,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Pitho sp,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Processa sp,06/05/2013,A,Bonanza,a,1,0.3
ASU,Amphipoda,Pseudoampithoides incurvaria  ,06/05/2013,A,Bonanza,a,4,1.3
ASU,Tanaidacea,Pseudoleptochelia sp A ,06/05/2013,A,Bonanza,a,12,4.7
ASU,Decapoda,Salmoneus sp,06/05/2013,A,Bonanza,a,1,0.3
ASU,Cumacea,Schizotrema agglutinanta,06/05/2013,A,Bonanza,a,0,0
ASU,Tanaidacea,Sinelobus stanfordi,06/05/2013,A,Bonanza,a,8,2.7
ASU,Isopoda,Lyocoryphe minocule,06/05/2013,A,Bonanza,a,0,0
ASU,Isopoda,Stenobermuda sp ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Amphipoda,Synopia sp,06/05/2013,A,Bonanza,a,0,0
ASU,Amphipoda,Nuuanu muelleri ,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Thor floridanus,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Thor sp,06/05/2013,A,Bonanza,a,3,1
ASU,Isopoda,Uromunna reynoldsi,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Upogebiidae sp,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Vaunthompsonia minor,06/05/2013,A,Bonanza,a,0,0
ASU,Cumacea,Vaunthompsonia floridana,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Xanthidae,06/05/2013,A,Bonanza,a,0,0
ASU,Decapoda,Williamstimpsonia denticulatus,06/05/2013,A,Bonanza,a,0,0
ASU,Tanaidacea,Zeuxo kurilensis,06/05/2013,A,Bonanza,a,1,0.3
ASU,Decapoda,Alpheus barbadensis,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus cylindricus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus armatus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus malleator,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus floridanus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus formosus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus normanni,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus paracrinitus,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Ampithoe ramondi,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Amakusanthura signata,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Accalathura crenulata,06/05/2013,A,Bonanza,b,1,0.3
ASU,Decapoda,Alpheus amblyonyx,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus sp ,06/05/2013,A,Bonanza,b,1,0.3
ASU,Isopoda,Amakusanthura magnifica,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Ambidexter symmetricus,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Ampelisca abdita,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Ampithoe sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Anamixis cavatura,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Apanthura cracenta,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Paradoxapseudes bermudeus,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Apseudes sp A ,06/05/2013,A,Bonanza,b,6,2
ASU,Tanaidacea,Apseudomorpha sp A,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Automate dolichognatha,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Axiidae,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Batea cuspidata,06/05/2013,A,Bonanza,b,1,0.3
ASU,Cumacea,Cumella gomoiui,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cumella clavicauda,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cumella ruetzleri,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Carpias triton,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cumella vicina,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Calcinus tibicen,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Calyptolana hancocki,06/05/2013,A,Bonanza,b,1,0.3
ASU,Cumacea,Campylaspis heardi,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Carpias algicola,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Ceradocus sheardi ,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Chevalia aviculae,06/05/2013,A,Bonanza,b,3,1
ASU,Isopoda,Cirolana parva ,06/05/2013,A,Bonanza,b,3,1
ASU,Decapoda,Clibabarius tricolor,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Colomastix janiceae,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cubanocuma gutzi,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cumella garrityi,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Cumella sp G,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Cymodoce ruetzleri,06/05/2013,A,Bonanza,b,1,0.3
ASU,Isopoda,Cymodoce sp,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Diogenidae,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Dumosus sp,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Dyscapseudes sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Elasmopus levis,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Elasmopus rapax ,06/05/2013,A,Bonanza,b,27,9
ASU,Amphipoda,Eobrolgus sp,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Excorallana antillensis,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Gnathia beethoveni,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Gnathia magdalensis,06/05/2013,A,Bonanza,b,3,1
ASU,Isopoda,Gnathia puertoricensis,06/05/2013,A,Bonanza,b,2,0.7
ASU,Isopoda,Gnathia vellosa,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Gnathia virginalis,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Gammaropsis atlantica,06/05/2013,A,Bonanza,b,1,0.3
ASU,Isopoda,Geocerceis barbarae,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Gibberosus myersi,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Globosolembos smithi ,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Gnathia sp,06/05/2013,A,Bonanza,b,2,0.7
ASU,Isopoda,Gnathostenetroides pugio,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Hippolyte curacaoensis,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Hansenium stebbingi,06/05/2013,A,Bonanza,b,4,1.3
ASU,Isopoda,Stenetrium bowmani,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Hargeria rapax,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Hemiproto wigleyi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Hemus cristulipes,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Hemus sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Hourstonius tortugae,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Joeropsis  bifasciatum,06/05/2013,A,Bonanza,b,1,0.3
ASU,Isopoda,Joeropsis personatus,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Alloleptochelia longimana,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Leucothoe spinicarpa,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Lembos unifasciatus,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Chondrochelia dubia ,06/05/2013,A,Bonanza,b,3,1
ASU,Cumacea,Leucon sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Leucothoe laurensi,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Liljeborgia sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Lysianopsis alba,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Lysmata intermedia,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Lysmata sp,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Mesanthura bivittata,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Mesanthura fasciata,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Mithraculus forceps,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Mesanthura paucidens,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Mesanthura pulchra,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Quadrimaera quadrimana,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Mancomunatinae ,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Metacirolana halia,06/05/2013,A,Bonanza,b,1,0.3
ASU,Decapoda,Metalpheus rostratipes,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Metarphinia floridana,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Omalacantha antillensis,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Microprosthema  semilaeve,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Mithraculus coryphe,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Mithraculus sculptus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Mithrax sp,06/05/2013,A,Bonanza,b,2,0.7
ASU,Amphipoda,Netamelita barnardi  ,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Nototanais sp,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pitho aculeatha ,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Cuapetes americanus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Periclimenaeus ascidarum,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Paguristes hernancortezi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pitho lherminieri,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pitho mirabilis,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Processa riveroi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Paguridae A ,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Paguristes sp,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Pagurotanais bouryi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pagurus annulipes,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Palaemonidae,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Paracerceis caudata,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Paranthura floridensis,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Pariphinotus seclusus ,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Parapseudes sp A ,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Paratanais sp A,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Pendanthura hendleri,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Periclimenes sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Perioculodes cerasinus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Petrochirus diogenes,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Petrolisthes galathinus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pilumnus longleyi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Pitho sp,06/05/2013,A,Bonanza,b,1,0.3
ASU,Decapoda,Processa sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Pseudoampithoides incurvaria  ,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Pseudoleptochelia sp A ,06/05/2013,A,Bonanza,b,2,0.7
ASU,Decapoda,Salmoneus sp,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Schizotrema agglutinanta,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Sinelobus stanfordi,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Lyocoryphe minocule,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Stenobermuda sp ,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Synopia sp,06/05/2013,A,Bonanza,b,0,0
ASU,Amphipoda,Nuuanu muelleri ,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Thor floridanus,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Thor sp,06/05/2013,A,Bonanza,b,0,0
ASU,Isopoda,Uromunna reynoldsi,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Upogebiidae sp,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Vaunthompsonia minor,06/05/2013,A,Bonanza,b,0,0
ASU,Cumacea,Vaunthompsonia floridana,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Xanthidae,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Williamstimpsonia denticulatus,06/05/2013,A,Bonanza,b,0,0
ASU,Tanaidacea,Zeuxo kurilensis,06/05/2013,A,Bonanza,b,0,0
ASU,Decapoda,Alpheus barbadensis,06/08/2013,B,Bonanza,a,1,0.3
ASU,Decapoda,Alpheus cylindricus,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus armatus,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus malleator,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus floridanus,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus formosus,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus normanni,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus paracrinitus,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Ampithoe ramondi,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Amakusanthura signata,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Accalathura crenulata,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus amblyonyx,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Alpheus sp ,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Amakusanthura magnifica,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Ambidexter symmetricus,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Ampelisca abdita,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Ampithoe sp,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Anamixis cavatura,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Apanthura cracenta,06/08/2013,B,Bonanza,a,0,0
ASU,Tanaidacea,Paradoxapseudes bermudeus,06/08/2013,B,Bonanza,a,0,0
ASU,Tanaidacea,Apseudes sp A ,06/08/2013,B,Bonanza,a,0,0
ASU,Tanaidacea,Apseudomorpha sp A,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Automate dolichognatha,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Axiidae,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Batea cuspidata,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella gomoiui,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella clavicauda,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella ruetzleri,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Carpias triton,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella vicina,06/08/2013,B,Bonanza,a,0,0
ASU,Decapoda,Calcinus tibicen,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Calyptolana hancocki,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Campylaspis heardi,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Carpias algicola,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Ceradocus sheardi ,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Melita sp,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Chevalia aviculae,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Cirolana parva ,06/08/2013,B,Bonanza,a,1,0.3
ASU,Decapoda,Clibabarius tricolor,06/08/2013,B,Bonanza,a,0,0
ASU,Amphipoda,Colomastix janiceae,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cubanocuma gutzi,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella garrityi,06/08/2013,B,Bonanza,a,0,0
ASU,Cumacea,Cumella sp G,06/08/2013,B,Bonanza,a,0,0
ASU,Isopoda,Cymodoce ruetzleri,06/08/2013,B,Bonanza,a,5,1.7
ASU,Isopoda,Cymodoce sp,06/08/2013,B,Bonanza,a,0,0
